"School ID","School Ministry Number","School Name","Year Established","School Classification","Education Office","District Name","Administrative Region","Administrative Contry","Administrative Centers","School Address","School Phone","School Fax","Study Level","School Gender","Student Count","Saudi Student Count","NonSaudi Student Count","Teachers Count","Saudi Teacher Count","NonSaudi Teacher Count","Classes Count"
"23791","84164","Imam Mohammed bin Saud Elementary School","1419","?????","?????","??????? ?????? ??????? ???????? ?????? ?????","?????","?????","?????","???? - ???????","sch84164@aljoufedu.gov.sa","6330844","0","??????? ??????????","????","73","73","0","18","18","0","6"
"17841","10196","Zaid bin Thabet Elementary School","","حكومي","مكتب التربية والتعليم بالجنوب","الإدارة العامة للتربية والتعليم الرياض","الرياض","الرياض","الرياض","نمار الشفا","pgmdthabit@riyadhedu.gov.sa","4211990","4211990","المرحلة الابتدائية","بنين","193","190","3","12","12","0","6"
"21599","53782","ALMUBARAKYAH PRIVATE ELEMENTARY SCHOOL","","أهلي","مكتب التربية والتعليم بشرق الدمام","الإدارة العامة للتربية والتعليم بالمنطقة الشرقية","الشرقية","الدمام","الدمام","الدمام","mmaak50@gmail.com","8093275","0138093275","المرحلة الابتدائية","بنين","185","133","52","25","5","20","12"
"19776","32117","slah aldin","1374","حكومي","مكتب التربية والتعليم بخليص","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","خليص","ستارة","السليم بوادي ستارة","32117@jedu.gov.sa","53636433","0","المرحلة الابتدائية","بنين","68","65","3","11","11","0","6"
"46302","14590","rawdah swedan","1433","حكومي","الأفلاج","إدارة التربية والتعليم بمحافظة الافلاج","الرياض","الأفلاج","سويدان","","baswedan@outlook.sa","","","رياض أطفال","بنات","20","20","0","3","3","0","3"
"20568","40298","Primary Khaev Al Hzami","1368","حكومي","مكتب التربية والتعليم بمحافظة بدر","الإدارة العامة للتربية والتعليم بمنطقة المدينه المنورة","المدينة المنورة","بدر","الواسطة","خيف الحزامي","40298@madinaedu.net","43340628","0","المرحلة الابتدائية","بنين","47","47","0","9","9","0","6"
"27365","49409","The 4th Elementary school at AL-Methnab","1398","حكومي","ادارة التربية والتعليم بمحافظة المذنب","إدارة التربية والتعليم بمحافظة المذنب","القصيم","المذنب","المذنب","الشورقيه","schoooool444@hotmail.com","3420496","0","المرحلة الابتدائية","بنات","100","82","18","15","15","0","6"
"39313","69034","Bihin kinder garten","1432","Ш­ЩѓЩ€Щ…ЩЉ","ШЁЩ„Щ„Ш­Щ…Ш±","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Ш№ШіЩЉШ±","Ш№ШіЩЉШ±","ШЈШЁЩЂЩ‡Ш§","ШЁЩЉШ­Ш§Щ†","","","","","Ш±ЩЉШ§Ш¶ ШЈШ·ЩЃШ§Щ„","ШЁЩ†Ш§ШЄ","32","32","0","4","4","0","2"
"8134","11429","Arrabea bin Iyass Intermediate School","","حكومي","مكتب التربية والتعليم بالسويدي","الإدارة العامة للتربية والتعليم الرياض","الرياض","الرياض","الرياض","سلطانه بجوار اسكان الامير سلمان الخيري","igmdrabea@riyadhedu.gov.sa","4351229","4351229","المرحلة المتوسطة","بنين","118","80","38","16","16","0","6"
"7768","10564","Assuweidi Intermediate School","","حكومي","مكتب التربية والتعليم بالسويدي","الإدارة العامة للتربية والتعليم الرياض","الرياض","الرياض","الرياض","الرياض حي السويدي","igmdalsowaid@riyadhedu.gov.sa","014256807","12677876","المرحلة المتوسطة","بنين","288","231","57","27","27","0","10"
"20567","40297","Primary Safwan bin Wahab","1417","حكومي","مكتب التربية والتعليم بمحافظة خيبر","الإدارة العامة للتربية والتعليم بمنطقة المدينه المنورة","المدينة المنورة","خيبر","العشاش","هجرة سمحة","40297@madinaedu.net","562063204","0","المرحلة الابتدائية","بنين","35","35","0","6","6","0","6"
"2310","79351","Bani Adwan Secondary School","1402","حكومي","مكتب التربية والتعليم بالقرى","الإدارة العامة للتربية والتعليم بمنطقة الباحة","الباحة","القرى","بني حرير وبني عدوان","الباحه / بنى عدوان","79351@bahaedu.gov.sa","077415940","7415930","المرحلة الثانوية","بنين","57","57","0","14","14","0","5"
"19431","29129","ALHEGIF","1413","حكومي","الخرمة","الإدارة العامة للتربية والتعليم بمحافظة الطائف","مكة المكرمة","الخرمة","الخرمة","الحجيف","29129@taifedu.gov.sa","552777001","0","المرحلة الابتدائية","بنين","64","64","0","10","10","0","6"
"27233","48385","Elementary First in AL-keteam","1411","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ЩЃЩЉ Щ…Ш­Ш§ЩЃШёШ© Ш±ЩЉШ§Ш¶ Ш§Щ„Ш®ШЁШ±Ш§ШЎ","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Ш§Щ„Щ‚ШµЩЉЩ…","Ш§Щ„Щ‚ШµЩЉЩ…","Ш±ЩЉШ§Ш¶ Ш§Щ„Ш®ШЁШ±Ш§ШЎ","Ш±ЩЉШ§Ш¶ Ш§Щ„Ш®ШЁШ±Ш§ШЎ","Ш§Щ„Ш®Ш·ЩЉЩ…","rkhbraa05@qge.gov.sa","2430285","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","30","30","0","10","10","0","6"
"44567","56494","Inspire international school","","تعليم أجنبي","مكتب التربية والتعليم بمحافظة الخبر","الإدارة العامة للتربية والتعليم بالمنطقة الشرقية","الشرقية","الخبر","الخبر","","","","","المرحلة الثانوية","بنات","47","10","37","1","1","0","3"
"25828","30741","Al-Roaileiyah Elementary","1413","حكومي","مكتب التربية و التعليم بالمويه","الإدارة العامة للتربية والتعليم بمحافظة الطائف","مكة المكرمة","الطائف","المويه","الرويلية","loly.alzhrani07@gmil.com","859968574","0","المرحلة الابتدائية","بنات","16","16","0","10","10","0","5"
"5435","19600","The 8th Secondary School","1431","Ш­ЩѓЩ€Щ…ЩЉ","Ш§Щ„ШІЩ„ЩЃЩЉ","ШҐШЇШ§Ш±Ш© Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„ШІЩ„ЩЃЩЉ","Ш§Щ„Ш±ЩЉШ§Ш¶","Ш§Щ„ШІЩ„ЩЃЩЉ","Ш§Щ„ШІЩ„ЩЃЩЉ","","reeeem9999@hotmail.com","","","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш«Ш§Щ†Щ€ЩЉШ©","ШЁЩ†Ш§ШЄ","92","87","5","21","21","0","10"
"47604","26758","ABDULRAHMAN ADDAKHEL","","حكومي","مكتب التربية والتعليم بشرق مكة المكرمة","الإدارة العامة للتربية و التعليم بمنطقة مكة المكرمة","مكة المكرمة","مكة المكرمة","مكة المكرمة","الشرائع مخطط 7","","","","المرحلة الثانوية","بنين","296","252","44","25","25","0","11"
"8802","26318","Meswar bin Makhrama","","حكومي","مكتب التربية والتعليم بشرق مكة المكرمة","الإدارة العامة للتربية و التعليم بمنطقة مكة المكرمة","مكة المكرمة","مكة المكرمة","الزيمة","الشرائع العليا","MKPSHRAE@SOL.NET.SA","5248391","0","المرحلة المتوسطة","بنين","222","215","7","23","23","0","9"
"22259","64123","Albatnah","1396","حكومي","مكتب التربية والتعليم بخيبر","إدارة التربية والتعليم بمحافظة بيشة","عسير","خميس مشيط","خيبر الجنوب","بيشه - البطنه","64123@bishaedu.gov.sa","","0","المرحلة الابتدائية","بنين","21","21","0","6","6","0","5"
"28000","58600","THE FIRST ELEMENTARY SCHOOL IN ALTEHEMIAH","1403","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„Щ‚Ш±Щ‰","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Ш§Ш­ШіШ§ШЎ","Ш§Щ„ШґШ±Щ‚ЩЉШ©","Ш§Щ„ШҐШ­ШіШ§ШЎ","Ш§Щ„ШЈШ­ШіШ§ШЎ","Ш§Щ„ШЄЩ‡ЩЉЩ…ЩЉШ©","p58600@hasaued.info","5960224","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","216","216","0","18","18","0","11"
"53381","110389","Al-Majd National Elementary School - ALoriyga","1435","أهلي","مكتب التربية والتعليم بالسويدي","الإدارة العامة للتربية والتعليم الرياض","الرياض","الرياض","الرياض","","majd20122012@hotmail.com","4259621","2676964","المرحلة الابتدائية","بنين","267","253","14","29","10","19","14"
"1313","40754","Secondary Shaibah bin Othman","1421","حكومي","مكتب التربية والتعليم جنوب المدينة","الإدارة العامة للتربية والتعليم بمنطقة المدينه المنورة","المدينة المنورة","المدينة المنورة","المدينة المنورة","قباء","40754@madinaedu.net","048610210","048610210","المرحلة الثانوية","بنين","308","140","168","27","27","0","13"
"39939","31739","AlHajaf Literacy","1423","حكومي","مكتب التربيه و التعليم بالخرمه","الإدارة العامة للتربية والتعليم بمحافظة الطائف","مكة المكرمة","الخرمة","الخرمة","الحجف","nonoe-444@hotmail.com","8440293","","تعليم كبار","بنات","3","3","0","2","2","0","1"
"26519","39003","Koranic Bgmiqh primary","","حكومي","ادارة الليث","إدارة التربية والتعليم بمحافظة الليث","مكة المكرمة","الليث","الليث","غميقة","sch39240@allaithged.gov.sa","7421767","0","المرحلة الابتدائية","بنات","58","54","4","20","20","0","6"
"15780","75043","alberkah intermediate school in hail","1424","حكومي","الغزالة","الإدارة العامة للتربية والتعليم بمنطقة حائل","حائل","الغزالة","الغزالة","البركه","g75043@hailsa.gov.sa","62674002","0","المرحلة المتوسطة","بنات","109","109","0","12","12","0","5"
"21749","57160","ALQADISIYAH ELEMENTARY SCHOOL","1387","حكومي","مكتب التربية والتعليم بالمبرز","الإدارة العامة للتربية والتعليم بمحافظة الاحساء","الشرقية","الإحساء","الأحساء","المبرز","p57160@hasaedu.info","5307359","0","المرحلة الابتدائية","بنين","293","261","32","26","26","0","12"
"3812","43607","High school for the first b ATHEEB","1427","حكومي","مكتب التربية والتعليم بالعلا","إدارة التربية والتعليم بمحافظة العلا","المدينة المنورة","العلا","العذيب","","al-othebi@hotmail.com","8854889","","المرحلة الثانوية","بنات","113","112","1","24","24","0","10"
"19149","26121","Shraie","","?????","???? ??????? ???????? ???? ??? ???????","??????? ?????? ??????? ? ??????? ?????? ??? ???????","??? ???????","??? ???????","??? ???????","??????? ?????? - ???? ?????? ??????","pr26121@makkahedu.gov.sa","5240474","0","??????? ??????????","????","189","183","6","23","23","0","7"
"21278","52110","--","1398","حكومي","إدارة التربية والتعليم في محافظة عنيزة","إدارة التربية والتعليم بمحافظة عنيزة","القصيم","عنيزة","عنيزة","الحفيرة","sclpi012@onaizahedu.gov.sa","3621700","0","المرحلة الابتدائية","بنين","83","83","0","13","13","0","6"
"19662","29396","AL-ATAIF","1403","حكومي","شمال الطائف","الإدارة العامة للتربية والتعليم بمحافظة الطائف","مكة المكرمة","الطائف","العطيف","طريق الرياض خلف الدفاع المدني","abdrm222@hotmail.com","027602680","0","المرحلة الابتدائية","بنين","91","88","3","20","20","0","6"
"45800","200560","Scientific Institute in Mahayil Asir - Intermediate","","معهد جامعة الامام","الرياض","وكالة المعاهد العلمية بجامعة الامام","الرياض","","","","","","","المرحلة المتوسطة","بنين","60","50","10","20","20","0","4"
"20286","36475","a","","حكومي","القوز","إدارة التربية والتعليم بمحافظة القنفذة","مكة المكرمة","القنفذه","القوز","الحبيل","mbaksa@hotmail.com","77335563","0","المرحلة الابتدائية","بنين","58","57","1","11","11","0","6"
"1138","32963","Al-Salama Secondary School - Private","1418","أهلي","مكتب التربية والتعليم بشمال جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","حي البوادي - شارع إبراهيم شكر","32963@shmal.org","6985425","6985425","المرحلة الثانوية","بنين","255","205","50","28","14","14","11"
"17320","26428","Hakam bin Hisham","","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ¬Щ†Щ€ШЁ Щ…ЩѓШ© Ш§Щ„Щ…ЩѓШ±Щ…Ш©","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€ Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Щ…ЩѓШ© Ш§Щ„Щ…ЩѓШ±Щ…Ш©","Щ…ЩѓШ© Ш§Щ„Щ…ЩѓШ±Щ…Ш©","Щ…ЩѓШ© Ш§Щ„Щ…ЩѓШ±Щ…Ш©","Щ…ЩѓШ© Ш§Щ„Щ…ЩѓШ±Щ…Ш©","Щ…ЩѓШ© Ш§Щ„Щ…ЩѓШ±Щ…Ш© - Ш­ЩЉ Ш§Щ„Щ‡Ш¬Ш±Ш©","alhakm9@gmail.com","5367309","5367309","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш«Ш§Щ†Щ€ЩЉШ©","ШЁЩ†ЩЉЩ†","594","530","64","60","60","0","0"
"2400","83364","Rawdhat Al Habbas Secondary School/ Manazil","1405","حكومي","مكتب التربية والتعليم بالهباس","الإدارة العامة للتربية والتعليم بمنطقة الحدود الشمالية","الحدود الشمالية","رفحاء","بن هباس","","alhbas11@hotmail.com","046781026","","المرحلة الثانوية","بنين","44","44","0","12","11","1","3"
"27225","48377","m","","حكومي","مكتب التربية والتعليم في محافظة عقلة الصقور","الإدارة العامة للتربية والتعليم بمنطقة القصيم","القصيم","عقلة الصقور","مركز عقلة الصقور","ديم","a000@qge.gov.sa","2690144","0","المرحلة الابتدائية","بنات","21","21","0","8","8","0","6"
"8933","26617","Alfurqan-","1424","أهلي","مكتب التربية والتعليم بشرق مكة المكرمة","الإدارة العامة للتربية و التعليم بمنطقة مكة المكرمة","مكة المكرمة","مكة المكرمة","مكة المكرمة","الشرائع مخطط رقم 10","","5261036","0","المرحلة المتوسطة","بنين","75","69","6","13","6","7","5"
"27407","49716","The 1st Elementary School in Sag","1413","حكومي","البكيرية","إدارة التربية والتعليم بمحافظة البكيرية","القصيم","البكيرية","ساق","ساق","g49716@buk.gov.sa","","12345","المرحلة الابتدائية","بنات","82","82","0","14","14","0","6"
"24660","16550","The 3 rd Elementary School at aldelam","1393","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„ШЇЩ„Щ…","ШҐШЇШ§Ш±Ш© Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Ш®Ш±Ш¬","Ш§Щ„Ш±ЩЉШ§Ш¶","Ш§Щ„Ш®Ш±Ш¬","Ш§Щ„ШЇЩ„Щ…","Ш§Щ„Ш®Ш±Ш¬ - Ш§Щ„ШЇЩ„Щ… - Ш­ЩЉ Ш§Щ„ШіШ№ЩЉШЇШ§Щ†","kdp3@alkharjedugirls.gov.sa","5411409","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","79","69","10","18","18","0","6"
"48188","75803","--","1424","تعليم أجنبي","شرق حائل","الإدارة العامة للتربية والتعليم بمنطقة حائل","حائل","حائل","حائل","","lamaschool-2003@hotmail.com","","","المرحلة الابتدائية","بنات","298","25","273","19","6","13","12"
"25072","22096","Ax","1414","حكومي","مكتب التربية و التعليم بالرين","إدارة التربية والتعليم بمحافظة القويعية","الرياض","القويعية","الرين","الرين - العمار","","6580045","0","المرحلة الابتدائية","بنات","49","48","1","10","10","0","6"
"12050","76611","Tahfeez Alquran Alkareem Intermediate School In Haqel","1425","حكومي","محافظة حقل","الإدارة العامة للتربية والتعليم بمنطقة تبوك","تبوك","حقل","حقل","حقل/حي القادسية","sch611@tabukedu.gov.sa","44534180","44534180","المرحلة المتوسطة","بنين","66","66","0","17","16","1","5"
"9457","32775","DAR EL-MAAREFA SCHOOL","1404","أهلي","مكتب التربية والتعليم بوسط جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","شارع الجفالي","32775@jedu.gov.sa","6633080","6633080","المرحلة المتوسطة","بنين","45","42","3","16","8","8","3"
"20287","36476","a","","حكومي","القوز","إدارة التربية والتعليم بمحافظة القنفذة","مكة المكرمة","القنفذه","القوز","عنيكر","Enk476@gmail.com","7468068","0","المرحلة الابتدائية","بنين","44","43","1","15","15","0","6"
"1169","33079","Alimam Abdullah Bin Saud","1425","حكومي","مكتب التربية والتعليم بالنسيم","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","حي الثغر - بجوار مستشفى المستقبل","xyz_054@hotmail.com","6025343","","المرحلة الثانوية","بنين","900","259","641","43","43","0","25"
"23932","87143","alhonbookah","1398","حكومي","العارضة","الإدارة العامة للتربية والتعليم بمنطقة جازان","جازان","العارضة","القصبة","جازان العارضه الحنبكه","alllllllllllll@h.com","3315814","0","المرحلة الابتدائية","بنين","130","119","11","12","12","0","6"
"44524","93663","Elementary Al-Mamon Private Night","","?????","???? ??????? ???????? ???????","??????? ?????? ??????? ???????? ?????? ?????","?????","?????","?????","","pri93219@najranedu.gov.sa","","","????? ????","????","17","12","5","4","4","0","3"
"19087","24231","Koranic school tamrh primary","1422","حكومي","مكتب التربية والتعليم بالسليل","إدارة التربية والتعليم بمحافظة وادي الدواسر","الرياض","السليل","تمرة","الدواسر","sulayl24145@hotmail.com","7823390","","المرحلة الابتدائية","بنين","95","95","0","15","15","0","6"
"21643","53963","TAIBAT AL-ISLAM PRIVATE ELEMENTARY SCHOOL","","أهلي","مكتب التربية والتعليم بشرق الدمام","الإدارة العامة للتربية والتعليم بالمنطقة الشرقية","الشرقية","الدمام","الدمام","الدمام حي الجلوية","b53963@schooleast.gov.sa","8410950","8410670","المرحلة الابتدائية","بنين","247","164","83","28","6","22","14"
"19127","25147","Abdullah bin Masood elementary","","حكومي","إدارة التربية و التعليم بمحافظة شقراء بنين","إدارة التربية والتعليم بمحافظة شقراء","الرياض","شقراء","مرات","عبدالله بن مسعود /حى الخالديه","a25147@shaqraedu.gov.sa","6231219","0116231219","المرحلة الابتدائية","بنين","108","104","4","16","16","0","6"
"25311","25539","Marat Quran Memorization School","1419","حكومي","شقراء","إدارة التربية والتعليم بمحافظة شقراء","الرياض","شقراء","مرات","حي الحزم","pquranmrt@shqedu.gov.sa","6230067","016230067","المرحلة الابتدائية","بنات","61","54","7","18","18","0","6"
"23794","84167","Ouqba bin Nafe'a Elementary School","1412","?????","?????","??????? ?????? ??????? ???????? ?????? ?????","?????","?????","??????","?????- ???? ?? ????","bennafee@aljoufedu.gov.sa","6570383","0","??????? ??????????","????","222","222","0","19","19","0","11"
"25479","27700","Ele. 99 at Makkah","0","حكومي","مكتب التربية والتعليم شمال مكة المكرمة","الإدارة العامة للتربية و التعليم بمنطقة مكة المكرمة","مكة المكرمة","مكة المكرمة","مكة المكرمة","ملقية","ele99@mge.gov.sa","5441009","05441009","المرحلة الابتدائية","بنات","423","285","138","34","34","0","20"
"29554","78088","The first primary in nemi","1428","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§ШґШ±Ш§ЩЃ Щ‚Ш±Щ‰ ШЄШЁЩ€Щѓ","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© ШЄШЁЩ€Щѓ","ШЄШЁЩ€Щѓ","ШЄШЁЩ€Щѓ","Щ†Ш№Щ…Щ‰","Ш§Щ„Щ†Ш№Щ…ЩЉ","","4246667","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","9","9","0","6","6","0","4"
"11460","68248","Hudaybiyah","","حكومي","سراة عبيدة","إدارة التربية والتعليم بمحافظة سراة عبيدة","عسير","سراة عبيدة","سراة عبيدة","سراة عبيده آ ل بسام","","2594994","","المرحلة المتوسطة","بنين","32","32","0","15","15","0","3"
"23683","83154","Hetteen Elementary School","1373","حكومي","مكتب التربية والتعليم بطريف","الإدارة العامة للتربية والتعليم بمنطقة الحدود الشمالية","الحدود الشمالية","طريف","طريف","حي الخالدية - مدرسة حطين","hmood951@hotmail.com","6521744","0","المرحلة الابتدائية","بنين","254","207","47","23","23","0","12"
"4026","56147","The 4th Secondchool in","","?????","???? ??????? ???????? ??????? ??????","??????? ?????? ??????? ???????? ???????? ???????","???????","??????","??????","???????-??????-?? ??????","th4kh@hotmail.com","0502042787","7667314","??????? ????????","????","0","0","0","0","0","0","0"
"45954","70679","Jafar Alamal Primary","1433","حكومي","بارق","الإدارة العامة للتربية والتعليم بمحافظة محايل عسير","عسير","بارق","بارق","","ssii2003@hotmail.com","072825537","","المرحلة المتوسطة","بنين","1","1","0","5","5","0","1"
"11626","70519","Alajyal","","حكومي","المجاردة","الإدارة العامة للتربية والتعليم بمحافظة محايل عسير","عسير","المجاردة","ثربان","ثربان الطلاليع-بجوارمركز ثربان","al-ajiyal@hotmail.com","72930441","","المرحلة المتوسطة","بنين","143","143","0","10","10","0","5"
"24997","22019","Auyt","1400","حكومي","مكتب التربية و التعليم بالقويعية","إدارة التربية والتعليم بمحافظة القويعية","الرياض","القويعية","الخنيقيه","القويعية - الخنيقية السفلى","","0","0","المرحلة الابتدائية","بنات","21","21","0","7","7","0","6"
"7940","10748","Ibn Rajab Al-Hanbali Night Intermediate School","","حكومي","مكتب التربية والتعليم بالسويدي","الإدارة العامة للتربية والتعليم الرياض","الرياض","","","السويدي الغربي","igmdebnrajab@sol.net0","4300592","","المرحلة المتوسطة","بنين","81","80","1","1","1","0","3"
"14208","41858","The 1st Intermediate School at Thmad","1405","حكومي","مكتب التربية والتعليم بمحافظة خيبر","الإدارة العامة للتربية والتعليم بمنطقة المدينه المنورة","المدينة المنورة","خيبر","خيبر","الذيبه","sweet-1717na@hotmail.com","8862084","0","المرحلة المتوسطة","بنات","343","337","6","21","21","0","13"
"19423","29121","ALHEGF","1399","حكومي","الخرمة","الإدارة العامة للتربية والتعليم بمحافظة الطائف","مكة المكرمة","الخرمة","الخرمة","الحجف الشارع العام","29121@taifedu.gov.sa","8435108","0","المرحلة الابتدائية","بنين","51","51","0","12","12","0","6"
"47112","56543","""Al-Bassam intermediate private schools ( international program)","1433","ШЄШ№Щ„ЩЉЩ… ШЈШ¬Щ†ШЁЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШґШ±Щ‚ Ш§Щ„ШЇЩ…Ш§Щ…","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„Щ…Щ†Ш·Щ‚Ш© Ш§Щ„ШґШ±Щ‚ЩЉШ©","Ш§Щ„ШґШ±Щ‚ЩЉШ©","Ш§Щ„ШЇЩ…Ш§Щ…","Ш§Щ„ШЇЩ…Ш§Щ…","Ш§Щ„ШЇЩ…Ш§Щ… -Ш§Щ„ШґШ§Ш·Щ‰ШЎ Ш§Щ„ШєШ±ШЁЩЉ","g56543@edueasy.gov.sa","","8094040260","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Щ…ШЄЩ€ШіШ·Ш©","ШЁЩ†Ш§ШЄ","70","63","7","10","4","6","5"
"45548","328303","Al-Andalus Secondary School Private-","1402","تعليم أجنبي","مكتب التربية والتعليم بشمال جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","","fkhorshed@as.sch.sa","6828339","","المرحلة الثانوية","بنين","113","107","6","14","6","8","4"
"4187","58825","THE FIRST SECONDARY SCHOOL IN ALROMELLA","1407","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„Щ‚Ш±Щ‰","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Ш§Ш­ШіШ§ШЎ","Ш§Щ„ШґШ±Щ‚ЩЉШ©","Ш§Щ„ШҐШ­ШіШ§ШЎ","Ш§Щ„ШЈШ­ШіШ§ШЎ","Ш§Щ„ШґШ±Щ‚ЩЉШ© - Ш§Щ„ШЈШ­ШіШ§ШЎ - Ш§Щ„Ш±Щ…ЩЉЩ„Ш©","s58825@hasaedu.info","5969613","5969613","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш«Ш§Щ†Щ€ЩЉШ©","ШЁЩ†Ш§ШЄ","352","352","0","49","49","0","19"
"26559","39044","Algheisam primary","1412","حكومي","مكتب اضم","إدارة التربية والتعليم بمحافظة الليث","مكة المكرمة","الليث","الجائزه","اللغيسيم","sch39044@allaithged.gov.sa","0559775577","0","المرحلة الابتدائية","بنات","85","85","0","19","19","0","6"
"45790","200491","Scientific Institute in Faifa - Secondary","","معهد جامعة الامام","الرياض","وكالة المعاهد العلمية بجامعة الامام","الرياض","","","جازان ــ محافظة فيفاء","ibr1432@gmail.com","073404539","0173409434","المرحلة الثانوية","بنين","47","47","0","19","19","0","9"
"18539","16121","Al-Andalus","1402","حكومي","مكتب التربية و التعليم بالخرج","إدارة التربية والتعليم بمحافظة الخرج","الرياض","الخرج","الخرج","حي الأندلس","aboyara11@hotmail.com","5480145","0","المرحلة الابتدائية","بنين","401","398","3","27","27","0","15"
"546","11537","Al-Huda Night National Secondary School","","أهلي","مكتب التربية والتعليم بالعزيزية","الإدارة العامة للتربية والتعليم الرياض","الرياض","","","","abu-sultan83@hotmail.com","4952396","","المرحلة الثانوية","بنين","608","601","7","0","0","0","22"
"46718","383923","alflah","","حكومي","ربوع العين","إدارة التربية والتعليم بمحافظة الليث","مكة المكرمة","","","","","","","المرحلة الابتدائية","بنين","4","4","0","3","3","0","3"
